           1    -5.44828    -5.44828           0
           2    -5.44781    -5.44805 0.000167332
           3    -5.44807    -5.44805 0.000111785
           4    -5.44842    -5.44815 0.000114633
           5    -5.44783    -5.44808 0.000107213
           6    -5.44919    -5.44827 0.000190208
           7    -5.44853    -5.44831 0.000166807
           8    -5.44791    -5.44826 0.000153265
           9    -5.44861     -5.4483 0.000141342
          10    -5.44819    -5.44828 0.000127599
          11    -5.44779    -5.44824 0.000123523
          12    -5.44856    -5.44827 0.000116079
          13    -5.44686    -5.44816 0.000149276
          14    -5.44835    -5.44817 0.000139233
          15     -5.4483    -5.44818 0.000130219
          16    -5.44844     -5.4482 0.000123098
          17    -5.44742    -5.44815 0.000124095
          18    -5.44797    -5.44814 0.000117608
          19    -5.44824    -5.44815 0.000111542
          20    -5.44861    -5.44817 0.000108379
