0             -1              0              0
1              0              0              0
2             -1              0              0
3             -1              0             -1
4             -1             -1             -1
5             -2             -1             -1
6             -1             -1             -1
7             -2             -1             -1
8             -3             -1             -1
9             -3              0             -1
10             -3             -1             -1
11             -3             -2             -1
12             -3             -2              0
13             -3             -2              1
14             -4             -2              1
15             -3             -2              1
16             -3             -1              1
17             -3             -2              1
18             -3             -3              1
19             -3             -3              2
20             -3             -3              1
21             -3             -3              2
22             -3             -3              3
23             -4             -3              3
24             -4             -3              4
25             -5             -3              4
26             -5             -2              4
27             -4             -2              4
28             -4             -2              5
29             -3             -2              5
30             -3             -2              4
31             -3             -2              3
32             -2             -2              3
33             -2             -2              2
34             -2             -1              2
35             -2             -1              1
36             -2             -2              1
37             -2             -2              2
38             -1             -2              2
39             -1             -3              2
40             -1             -3              3
41             -2             -3              3
42             -2             -2              3
43             -3             -2              3
44             -3             -2              2
45             -3             -2              3
46             -3             -3              3
47             -4             -3              3
48             -5             -3              3
49             -6             -3              3
50             -6             -3              2
51             -6             -3              3
52             -7             -3              3
53             -6             -3              3
54             -6             -2              3
55             -6             -2              4
56             -6             -2              5
57             -5             -2              5
58             -5             -3              5
59             -5             -3              6
60             -5             -4              6
61             -5             -4              5
62             -5             -5              5
63             -5             -5              4
64             -5             -5              3
65             -5             -4              3
66             -4             -4              3
67             -4             -4              4
68             -4             -5              4
69             -4             -5              3
70             -4             -5              4
71             -4             -4              4
72             -4             -4              3
73             -3             -4              3
74             -3             -4              4
75             -2             -4              4
76             -1             -4              4
77             -2             -4              4
78             -3             -4              4
79             -3             -5              4
80             -3             -5              5
81             -3             -6              5
82             -3             -5              5
83             -3             -4              5
84             -2             -4              5
85             -2             -4              6
86             -2             -4              5
87             -1             -4              5
88             -1             -4              4
89             -1             -4              3
90             -1             -4              2
91             -1             -5              2
92             -1             -5              3
93             -1             -5              2
94             -1             -6              2
95             -1             -6              3
96             -1             -7              3
97             -1             -7              2
98             -2             -7              2
99             -2             -7              1
