1              1     -0.0198795      0.0080206
2            0.8        1.34894      0.0210351
3           0.64       0.128679      0.0239667
4          0.512      -0.210217     0.00517646
5         0.4096     -0.0354425      0.0223672
6        0.32768      -0.180593     0.00438994
7       0.262144      -0.105518      0.0054942
8       0.209715      -0.384883     0.00346682
9       0.167772       0.111448      0.0275555
10       0.134218       -0.37682     0.00444429
11       0.107374      -0.145872     0.00529605
12      0.0858993      -0.293567     0.00626501
13      0.0687195     -0.0679253     0.00760963
14      0.0549756       -0.37969      0.0044044
15      0.0439805      -0.359471     0.00776943
16      0.0351844      -0.395624     0.00276921
17      0.0281475      -0.416721     0.00418243
18       0.022518      -0.342504      0.0056901
19      0.0180144      -0.422485     0.00273342
20      0.0144115      -0.435661     0.00317879
21      0.0115292      -0.415868     0.00423549
22     0.00922337      -0.430316      0.0036773
23      0.0073787      -0.440533     0.00315117
24     0.00590296      -0.432333     0.00326131
25     0.00472237      -0.413058     0.00391963
26     0.00377789      -0.431239     0.00281159
27     0.00302231      -0.446386     0.00252847
28     0.00241785      -0.443303      0.0024747
29     0.00193428      -0.441826     0.00259586
30     0.00154743      -0.443269     0.00204739
31     0.00123794      -0.442156      0.0025825
